PeakID	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
29291	chr8	25907638	25907708	+	0	NA	Intergenic	Intergenic	-5033	NM_022659	EBF2	NM_022659			EBF2			
27378	chr7	157481092	157481225	+	0	NA	intron (NM_130843, intron 11 of 21)	-intron (NM_002847, intron 12 of 22)	-114044	NR_029689	MIR153-2	NR_029689			MIR153-2			
5512	chr11	78775758	78775835	+	0	NA	exon (NM_001098816, exon 6 of 34)	-exon (NM_001098816, exon 6 of 34)	337357	NR_030598	MIR708	NR_030598			MIR708			
25596	chr6	16193072	16193138	+	0	NA	Intergenic	Intergenic	-45706	NM_006877	GMPR	NM_006877			GMPR			
17429	chr2	31805640	31805761	+	0	NA	exon (NM_000348, exon 1 of 5)	-exon (NM_000348, exon 1 of 5)	340	NM_000348	SRD5A2	NM_000348			SRD5A2			
23625	chr5	125386155	125386287	+	0	NA	Intergenic	Intergenic	-309567	NM_001146319	GRAMD3	NM_001146320			GRAMD3			
8574	chr14	96427444	96427598	+	0	NA	Intergenic	Intergenic	-78140	NM_001252507	C14orf132	NM_001252507			C14orf132			
30967	chr9	140723062	140723176	+	0	NA	intron (NM_024757, intron 25 of 26)	-intron (NM_024757, intron 25 of 26)	-9752	NR_030333	MIR602	NR_030333			MIR602			
8593	chr14	99382329	99382428	+	0	NA	Intergenic	Intergenic	204428	NM_182560	C14orf177	NM_182560			C14orf177			
5127	chr11	64673460	64673498	+	0	NA	intron (NM_015104, intron 22 of 40)	-intron (NM_015104, intron 22 of 40)	11243	NM_015104	ATG2A	NM_015104			ATG2A			
30151	chr9	127620600	127620717	+	0	NA	TTS (NM_001045476)	-TTS (NM_001045476)	3582	NM_007209	RPL35	NM_007209			RPL35			
29603	chr8	57566372	57566412	+	0	NA	Intergenic	Intergenic	-94010	NR_038236	LOC100507632	NR_038236			LOC100507632			
16612	chr2	177881145	177881193	+	0	NA	Intergenic	Intergenic	-196253	NM_194247	HNRNPA3	NM_194247			HNRNPA3			
15958	chr2	101504198	101504277	+	0	NA	intron (NM_002518, intron 1 of 20)	-intron (NM_002518, intron 1 of 20)	67624	NM_002518	NPAS2	NM_002518			NPAS2			
9853	chr16	2236275	2236377	+	0	NA	intron (NM_020764, intron 10 of 19)	-intron (NM_020764, intron 10 of 19)	10139	NM_020764	CASKIN1	NM_020764			CASKIN1			
20632	chr3	122360438	122360504	+	0	NA	Intergenic	Intergenic	25946	NM_152615	PARP15	NM_152615			PARP15			
12808	chr17	77746628	77746779	+	0	NA	Intergenic	Intergenic	-5274	NM_005189	CBX2	NM_032647			CBX2			
12511	chr17	7339472	7339526	+	0	NA	intron (NM_178518, intron 2 of 2)	-intron (NM_178518, intron 2 of 2)	737	NM_178518	TMEM102	NM_178518			TMEM102			
17179	chr2	241263710	241263806	+	0	NA	Intergenic	Intergenic	-111357	NM_002081	GPC1	NM_002081			GPC1			
23373	chr4	8873116	8873215	+	0	NA	exon (NM_018942, exon 1 of 2)	-exon (NM_018942, exon 1 of 2)	378	NM_018942	HMX1	NM_018942			HMX1			
20750	chr3	127542015	127542065	+	0	NA	promoter-TSS (NM_001003794)	-promoter-TSS (NM_001003794)	53	NM_001003794	MGLL	NM_001256585			MGLL			
17214	chr2	241708992	241709052	+	0	NA	intron (NM_004321, intron 15 of 46)	-intron (NM_001244008, intron 16 of 48)	50703	NM_001244008	KIF1A	NM_001244008			KIF1A			
2275	chr1	6204829	6204879	+	0	NA	intron (NM_015557, intron 11 of 41)	-intron (NM_015557, intron 11 of 41)	35340	NM_015557	CHD5	NM_015557			CHD5			
26214	chr6	35960308	35960403	+	0	NA	exon (NM_001193476, exon 6 of 20)	-exon (NM_001193476, exon 6 of 20)	31922	NM_138718	SLC26A8	NM_052961			SLC26A8			
269	chr1	120413959	120414042	+	0	NA	Intergenic	Intergenic	25147	NM_021794	ADAM30	NM_021794			ADAM30			
30937	chr9	140324509	140324552	+	0	NA	intron (NM_006647, intron 5 of 13)	-intron (NM_001256067, intron 5 of 13)	6683	NM_006647	NOXA1	NM_006647			NOXA1			
13251	chr18	12658310	12658364	+	0	NA	promoter-TSS (NM_001128626)	-promoter-TSS (NM_001128626)	-401	NM_147163	PSMG2	NM_020232			PSMG2			
28412	chr8	100939416	100939490	+	0	NA	Intergenic	Intergenic	-33211	NM_004374	COX6C	NM_004374			COX6C			
7383	chr13	27334988	27335166	+	0	NA	promoter-TSS (NM_005288)	-promoter-TSS (NM_005288)	-155	NM_005288	GPR12	NM_005288			GPR12			
16244	chr2	128408631	128408715	+	0	NA	exon (NM_001161415, exon 4 of 4)	-exon (NM_001161415, exon 4 of 4)	-2845	NM_001256542	LIMS2	NM_001136037			LIMS2			
12152	chr17	56396469	56396562	+	0	NA	exon (NM_004758, exon 13 of 32)	-exon (NM_004758, exon 13 of 32)	-6296	NR_038410	LOC100506779	NR_038416			LOC100506779			
9924	chr16	27810447	27810527	+	0	NA	intron (NM_144675, intron 5 of 5)	-intron (NM_001109763, intron 6 of 6)	88991	NM_144675	GSG1L	NM_001109763			GSG1L			
13705	chr18	77558750	77558795	+	0	NA	Intergenic	Intergenic	-64896	NM_012283	KCNG2	NM_012283			KCNG2			
17899	chr2	95741511	95741603	+	0	NA	Intergenic	Intergenic	46197	NM_031902	MRPS5	NM_031902			MRPS5			
18729	chr20	61399811	61399906	+	0	NA	Intergenic	Intergenic	8350	NR_046224	LOC100652730	NR_046225			LOC100652730			
4637	chr11	2428753	2428811	+	0	NA	intron (NM_014555, intron 19 of 23)	-intron (NM_014555, intron 19 of 23)	5259	NM_005706	TSSC4	NM_005706			TSSC4			
16578	chr2	172961222	172961286	+	0	NA	Intergenic	Intergenic	6224	NM_004405	DLX2	NM_004405			DLX2			
17438	chr2	33652944	33652996	+	0	NA	Intergenic	Intergenic	-8446	NM_170672	RASGRP3	NM_015376			RASGRP3			
10702	chr16	82279427	82279512	+	0	NA	Intergenic	Intergenic	-75640	NM_005792	MPHOSPH6	NM_005792			MPHOSPH6			
3980	chr10	99277379	99277474	+	0	NA	intron (NM_024954, intron 1 of 2)	-intron (NM_024954, intron 1 of 2)	18658	NM_024954	UBTD1	NM_024954			UBTD1			
1291	chr1	223712448	223712498	+	0	NA	Intergenic	Intergenic	140963	NM_001143962	CAPN8	NM_001143962			CAPN8			
18621	chr20	60672246	60672344	+	0	NA	Intergenic	Intergenic	-25222	NM_144703	LSM14B	NM_144703			LSM14B			
27398	chr7	157783974	157784015	+	0	NA	intron (NM_130843, intron 10 of 21)	-intron (NM_002847, intron 11 of 22)	136717	NR_038966	LOC100506585	NR_038966			LOC100506585			
2991	chr10	133783085	133783181	+	0	NA	intron (NM_004052, intron 5 of 5)	-intron (NM_004052, intron 5 of 5)	12302	NM_004052	BNIP3	NM_004052			BNIP3			
614	chr1	166890501	166890558	+	0	NA	exon (NM_199351, exon 9 of 10)	-exon (NM_199351, exon 9 of 10)	-44875	NM_053053	TADA1	NM_053053			TADA1			
6427	chr12	3728523	3728608	+	0	NA	intron (NM_001144958, intron 17 of 19)	-intron (NM_001144958, intron 17 of 19)	51242	NM_001256537	PRMT8	NM_019854			PRMT8			
28390	chr7	99571396	99571462	+	0	NA	intron (NM_001185, intron 1 of 3)	-intron (NM_001185, intron 1 of 3)	2306	NM_001185	AZGP1	NM_001185			AZGP1			
7989	chr14	105202648	105202799	+	0	NA	intron (NM_199165, intron 2 of 12)	-intron (NM_152328, intron 2 of 12)	6495	NM_199165	ADSSL1	NM_199165			ADSSL1			
14780	chr19	38743439	38743543	+	0	NA	intron (NM_001243947, intron 1 of 2)	-intron (NM_001243947, intron 1 of 2)	3740	NM_001243947	PPP1R14A	NM_001243947			PPP1R14A			
21784	chr3	58612820	58612894	+	0	NA	Intergenic	Intergenic	39704	NM_138805	FAM3D	NM_138805			FAM3D			
29597	chr8	57232372	57232410	+	0	NA	intron (NM_138969, intron 1 of 6)	-intron (NM_138969, intron 1 of 6)	850	NM_138969	SDR16C5	NM_138969			SDR16C5			
22853	chr4	3704112	3704158	+	0	NA	Intergenic	Intergenic	-24553	NR_034136	LOC100133461	NR_034136			LOC100133461			
15425	chr19	53264738	53264852	+	0	NA	Intergenic	Intergenic	25239	NM_198457	ZNF600	NM_198457			ZNF600			
12391	chr17	71398134	71398227	+	0	NA	exon (NM_001144952, exon 19 of 45)	-exon (NM_001144952, exon 19 of 45)	-90037	NM_012121	CDC42EP4	NM_012121			CDC42EP4			
542	chr1	160239716	160239782	+	0	NA	Intergenic	Intergenic	-7399	NM_015726	DCAF8	NM_015726			DCAF8			
29470	chr8	43417109	43417191	+	0	NA	Intergenic	Intergenic	269565	NM_001005365	POTEA	NM_001005365			POTEA			
16940	chr2	232330192	232330302	+	0	NA	Intergenic	Intergenic	-1042	NM_005381	NCL	NM_005381			NCL			
21009	chr3	148866351	148866486	+	0	NA	intron (NM_032383, intron 5 of 16)	-intron (NM_032383, intron 5 of 16)	19047	NM_032383	HPS3	NM_032383			HPS3			
27719	chr7	38089417	38089456	+	0	NA	Intergenic	Intergenic	-128372	NM_032016	STARD3NL	NM_032016			STARD3NL			
24644	chr5	33502097	33502234	+	0	NA	Intergenic	Intergenic	61267	NM_152295	TARS	NM_152295			TARS			
31453	chr9	96682579	96682626	+	0	NA	Intergenic	Intergenic	35006	NM_021570	BARX1	NM_021570			BARX1			
12224	chr17	61565318	61565384	+	0	NA	intron (NM_152830, intron 4 of 13)	-intron (NM_000789, intron 15 of 24)	3173	NM_152830	ACE	NM_000789			ACE			
5460	chr11	75142282	75142431	+	0	NA	promoter-TSS (NM_001039548)	-promoter-TSS (NM_001039548)	-682	NM_001039548	KLHL35	NM_001039548			KLHL35			
10895	chr16	86536164	86536238	+	0	NA	intron (NR_036444, intron 1 of 3)	-intron (NR_033925, intron 1 of 3)	6265	NR_036444	LOC400550	NR_033925			LOC400550			
22613	chr4	185901087	185901194	+	0	NA	Intergenic	Intergenic	-38943	NM_001029887	HELT	NM_001029887			HELT			
13334	chr18	21520210	21520328	+	0	NA	intron (NM_198129, intron 68 of 74)	-intron (NM_000227, intron 31 of 37)	-52468	NM_153211	TTC39C	NM_153211			TTC39C			
17334	chr2	25528769	25528839	+	0	NA	intron (NM_175630, intron 2 of 3)	-intron (NM_022552, intron 2 of 22)	22786	NR_031570	MIR1301	NR_031570			MIR1301			
25409	chr6	141000476	141000609	+	0	NA	Intergenic	Intergenic	-4409	NR_039675	MIR4465	NR_039675			MIR4465			
16314	chr2	131626842	131626921	+	0	NA	Intergenic	Intergenic	-47343	NM_032995	ARHGEF4	NM_015320			ARHGEF4			
1867	chr1	3394464	3394506	+	0	NA	exon (NM_014448, exon 11 of 15)	-exon (NM_014448, exon 11 of 15)	23338	NM_014448	ARHGEF16	NM_014448			ARHGEF16			
7489	chr13	40392052	40392159	+	0	NA	Intergenic	Intergenic	-153833	NR_036190	MIR4305	NR_036190			MIR4305			
31122	chr9	37378767	37378851	+	0	NA	Intergenic	Intergenic	-43898	NM_012203	GRHPR	NM_012203			GRHPR			
5528	chr11	82482209	82482322	+	0	NA	Intergenic	Intergenic	-37359	NM_175885	FAM181B	NM_175885			FAM181B			
18413	chr20	49218653	49218748	+	0	NA	exon (NM_080829, exon 13 of 22)	-exon (NM_080829, exon 13 of 22)	16377	NR_030375	MIR645	NR_030375			MIR645			
24050	chr5	1636729	1636854	+	0	NA	Intergenic	Intergenic	-2671	NR_003713	LOC728613	NR_003713			LOC728613			
21569	chr3	42743745	42743823	+	0	NA	promoter-TSS (NR_027753)	-promoter-TSS (NR_027753)	535	NM_020707	HHATL	NR_027753			HHATL			
30361	chr9	134158412	134158466	+	0	NA	Intergenic	Intergenic	-6533	NM_033387	FAM78A	NM_033387			FAM78A			
23459	chr5	103559271	103559377	+	0	NA	Intergenic	Intergenic	-660834	NM_031438	NUDT12	NM_031438			NUDT12			
14707	chr19	3730286	3730367	+	0	NA	intron (NM_014428, intron 3 of 19)	-intron (NM_014428, intron 3 of 19)	1952	NM_014428	TJP3	NM_014428			TJP3			
31702	chrX	1363920	1364036	+	0	NA	Intergenic	Intergenic	-23715	NM_172249	CSF2RA	NM_006140			CSF2RA			
14282	chr19	20183549	20183669	+	0	NA	Intergenic	Intergenic	-5194	NM_007138	ZNF90	NM_007138			ZNF90			
16711	chr2	200327697	200327819	+	0	NA	intron (NM_015265, intron 1 of 11)	-intron (NM_001172517, intron 1 of 11)	2073	NM_001172517	SATB2	NM_001172517			SATB2			
16436	chr2	1490607	1490687	+	0	NA	intron (NM_175719, intron 9 of 15)	-intron (NM_000547, intron 9 of 16)	72467	NM_175722	TPO	NM_000547			TPO			
5136	chr11	64763822	64763973	+	0	NA	intron (NM_138456, intron 1 of 2)	-intron (NM_138456, intron 1 of 2)	620	NM_138456	BATF2	NM_138456			BATF2			
17181	chr2	241280573	241280670	+	0	NA	Intergenic	Intergenic	-94494	NM_002081	GPC1	NM_002081			GPC1			
28678	chr8	131530878	131530944	+	0	NA	Intergenic	Intergenic	-75005	NM_018482	ASAP1	NM_001247996			ASAP1			
22610	chr4	185874764	185874843	+	0	NA	Intergenic	Intergenic	-54188	NR_039977	LOC100506229	NR_039976			LOC100506229			
4939	chr11	555980	556059	+	0	NA	exon (NM_173573, exon 11 of 14)	-exon (NM_173573, exon 11 of 14)	4760	NM_173573	C11orf35	NM_173573			C11orf35			
19037	chr21	30105458	30105524	+	0	NA	Intergenic	Intergenic	152202	NM_013240	N6AMT1	NM_013240			N6AMT1			
921	chr1	1962113	1962245	+	0	NA	TTS (NM_000815)	-TTS (NM_000815)	11411	NM_000815	GABRD	NM_000815			GABRD			
15805	chr19	7711154	7711207	+	0	NA	exon (NM_001127396, exon 16 of 19)	-exon (NM_001127396, exon 16 of 19)	9189	NM_006949	STXBP2	NM_001127396			STXBP2			
14473	chr19	31197251	31197317	+	0	NA	Intergenic	Intergenic	333956	NM_014717	ZNF536	NM_014717			ZNF536			
17330	chr2	25352643	25352776	+	0	NA	intron (NM_014971, intron 6 of 22)	-intron (NM_014971, intron 6 of 22)	38850	NM_000939	POMC	NM_001035256			POMC			
26681	chr7	100850350	100850416	+	0	NA	intron (NM_001084, intron 17 of 18)	-intron (NM_001084, intron 17 of 18)	-6081	NM_178176	MOGAT3	NM_178176			MOGAT3			
3313	chr10	23480836	23480912	+	0	NA	promoter-TSS (NM_178161)	-promoter-TSS (NM_178161)	-586	NM_178161	PTF1A	NM_178161			PTF1A			
6780	chr12	6581756	6581831	+	0	NA	Intergenic	Intergenic	-1950	NM_014231	VAMP1	NM_014231			VAMP1			
11984	chr17	45599505	45599571	+	0	NA	Intergenic	Intergenic	-8906	NM_006310	NPEPPS	NM_006310			NPEPPS			
14133	chr19	17983503	17983666	+	0	NA	intron (NM_000453, intron 1 of 14)	-intron (NM_000453, intron 1 of 14)	802	NM_000453	SLC5A5	NM_000453			SLC5A5			
30369	chr9	134351322	134351404	+	0	NA	exon (NM_013318, exon 15 of 31)	-exon (NM_013318, exon 15 of 31)	-9689	NR_002914	SNORD62A	NR_002914			SNORD62A			
3341	chr10	27547831	27547882	+	0	NA	Intergenic	Intergenic	-6621	NR_003525	LOC387646	NR_003525			LOC387646			
19388	chr21	46421279	46421361	+	0	NA	intron (NR_024089, intron 1 of 1)	-intron (NR_024089, intron 1 of 1)	3322	NR_024089	LINC00162	NR_024089			LINC00162			
14141	chr19	18045052	18045117	+	0	NA	promoter-TSS (NM_138442)	-promoter-TSS (NM_138442)	-821	NM_138442	CCDC124	NM_138442			CCDC124			
6914	chr12	8410677	8410721	+	0	NA	Intergenic	Intergenic	-15157	NR_024254	FAM86FP	NR_024254			FAM86FP			
15711	chr19	6333191	6333241	+	0	NA	intron (NM_133492, intron 1 of 5)	-intron (NM_133492, intron 1 of 5)	424	NM_133492	ACER1	NM_133492			ACER1			
28664	chr8	12881714	12881846	+	0	NA	exon (NM_001099677, exon 2 of 2)	-exon (NM_001099677, exon 2 of 2)	12007	NM_001099677	KIAA1456	NM_020844			KIAA1456			
29107	chr8	145578345	145578408	+	0	NA	TTS (NM_012162)	-TTS (NM_012162)	198	NM_001252402	C8ORFK29	NM_001252404			C8ORFK29			
31610	chrX	121005097	121005164	+	0	NA	Intergenic	Intergenic	823668	NM_012084	GLUD2	NM_012084			GLUD2			
19448	chr21	47326332	47326494	+	0	NA	intron (NM_020528, intron 5 of 13)	-intron (NM_001130141, intron 5 of 12)	56538	NM_020528	PCBP3	NM_001130141			PCBP3			
15107	chr19	46148747	46148842	+	0	NA	promoter-TSS (NM_001193268)	-promoter-TSS (NM_001193268)	-19	NM_001193268	EML2	NM_001193268			EML2			
3447	chr10	4332636	4332702	+	0	NA	Intergenic	Intergenic	-365679	NR_015425	LOC338588	NR_015425			LOC338588			
3741	chr10	73454057	73454174	+	0	NA	intron (NM_022124, intron 20 of 67)	-intron (NM_001171930, intron 20 of 30)	25463	NM_001164375	C10orf105	NM_001168390			C10orf105			
5240	chr11	67289450	67289521	+	0	NA	intron (NM_016366, intron 2 of 6)	-intron (NM_016366, intron 2 of 6)	1414	NM_016366	CABP2	NM_016366			CABP2			
2719	chr10	115999406	115999449	+	0	NA	intron (NM_198496, intron 1 of 11)	-intron (NM_198496, intron 1 of 11)	409	NM_198496	VWA2	NM_198496			VWA2			
22499	chr4	17562749	17562814	+	0	NA	Intergenic	Intergenic	-16146	NM_015907	LAP3	NM_015907			LAP3			
5012	chr11	61297563	61297731	+	0	NA	intron (NM_004200, intron 4 of 8)	-intron (NM_001252065, intron 5 of 9)	21375	NM_001145077	LRRC10B	NM_001145077			LRRC10B			
24781	chr5	524215	524340	+	0	NA	exon (NM_004174, exon 1 of 17)	-exon (NM_004174, exon 1 of 17)	272	NM_004174	SLC9A3	NM_004174			SLC9A3			
2772	chr10	119480789	119480864	+	0	NA	Intergenic	Intergenic	-176247	NR_002791	EMX2OS	NR_002791			EMX2OS			
10068	chr16	31139492	31139589	+	0	NA	intron (NM_182958, intron 6 of 9)	-intron (NM_032188, intron 6 of 10)	7611	NM_002773	PRSS8	NM_002773			PRSS8			
27159	chr7	150774001	150774066	+	0	NA	TTS (NM_001199692)	-TTS (NM_001199692)	3918	NM_006712	FASTK	NM_033015			FASTK			
14675	chr19	36475815	36475954	+	0	NA	Intergenic	Intergenic	-10206	NM_001042631	SDHAF1	NM_001042631			SDHAF1			
8237	chr14	48145113	48145247	+	0	NA	Intergenic	Intergenic	-1023	NM_001113498	MDGA2	NM_182830			MDGA2			
19197	chr21	43979671	43979812	+	0	NA	intron (NM_018964, intron 12 of 20)	-intron (NM_018964, intron 12 of 20)	59999	NM_018964	SLC37A1	NM_018964			SLC37A1			
24353	chr5	178016573	178016695	+	0	NA	intron (NM_173465, intron 1 of 28)	-intron (NM_173465, intron 1 of 28)	922	NM_173465	COL23A1	NM_173465			COL23A1			
6996	chr12	97380030	97380111	+	0	NA	Intergenic	Intergenic	78826	NM_001135175	NEDD1	NM_001135176			NEDD1			
17823	chr2	87016744	87016782	+	0	NA	exon (NM_001145873, exon 6 of 9)	-exon (NM_001145873, exon 6 of 9)	2074	NR_027353	CD8A	NR_027353			CD8A			
18007	chr20	19646873	19647005	+	0	NA	intron (NM_020689, intron 8 of 16)	-intron (NM_020689, intron 8 of 16)	-220226	NM_001242581	RIN2	NM_001242581			RIN2			
18201	chr20	35566800	35566866	+	0	NA	intron (NM_015474, intron 3 of 15)	-intron (NM_015474, intron 3 of 15)	13413	NM_015474	SAMHD1	NM_015474			SAMHD1			
9386	chr15	91059163	91059246	+	0	NA	Intergenic	Intergenic	-13994	NM_022769	CRTC3	NM_022769			CRTC3			
26246	chr6	3726913	3726967	+	0	NA	intron (NM_183373, intron 4 of 4)	-intron (NM_183373, intron 4 of 4)	25306	NM_183373	PXDC1	NM_183373			PXDC1			
7052	chr13	109793367	109793415	+	0	NA	exon (NM_001198950, exon 32 of 35)	-exon (NM_001198950, exon 32 of 35)	511820	NM_001198950	MYO16	NM_015011			MYO16			
7284	chr13	114544155	114544241	+	0	NA	intron (NM_000820, intron 4 of 14)	-intron (NM_000820, intron 4 of 14)	-1095	NR_044995	FLJ41484	NR_044995			FLJ41484			
9983	chr16	29245312	29245467	+	0	NA	Intergenic	Intergenic	-68219	NR_002939	SNX29P2	NR_002939			SNX29P2			
15491	chr19	54606953	54607054	+	0	NA	intron (NM_004542, intron 2 of 3)	-intron (NM_004542, intron 2 of 3)	843	NM_004542	NDUFA3	NM_004542			NDUFA3			
21487	chr3	31540052	31540117	+	0	NA	Intergenic	Intergenic	-34407	NM_178862	STT3B	NM_178862			STT3B			
18422	chr20	49411821	49411898	+	0	NA	intron (NM_198799, intron 1 of 4)	-intron (NM_001010974, intron 1 of 3)	392	NM_198799	BCAS4	NM_001010974			BCAS4			
9982	chr16	29244665	29244732	+	0	NA	Intergenic	Intergenic	-68910	NR_002939	SNX29P2	NR_002939			SNX29P2			
22324	chr4	1542020	1542078	+	0	NA	Intergenic	Intergenic	143669	NM_001013622	FAM53A	NM_001013622			FAM53A			
14367	chr19	23777857	23777905	+	0	NA	Intergenic	Intergenic	92136	NM_138330	ZNF675	NM_138330			ZNF675			
612	chr1	166853760	166853811	+	0	NA	Intergenic	Intergenic	-8131	NM_053053	TADA1	NM_053053			TADA1			
31562	chrX	110342374	110342500	+	0	NA	intron (NM_002578, intron 3 of 17)	-intron (NM_001128166, intron 2 of 15)	3062	NM_002578	PAK3	NM_001128168			PAK3			
12740	chr17	768644	768776	+	0	NA	intron (NM_022463, intron 1 of 7)	-intron (NM_022463, intron 1 of 7)	-1359	NM_001205319	NXN	NM_001205319			NXN			
23837	chr5	140720291	140720378	+	0	NA	exon (NM_018915, exon 1 of 4)	-exon (NM_018915, exon 1 of 4)	1980	NM_018915	PCDHGA2	NM_018915			PCDHGA2			
5802	chr12	115178613	115178742	+	0	NA	Intergenic	Intergenic	-56708	NM_016569	TBX3	NM_005996			TBX3			
30542	chr9	137319516	137319567	+	0	NA	intron (NM_002957, intron 6 of 9)	-intron (NM_002957, intron 6 of 9)	48284	NR_039816	MIR4669	NR_039816			MIR4669			
17222	chr2	241737164	241737288	+	0	NA	exon (NM_001244008, exon 2 of 49)	-exon (NM_001244008, exon 2 of 49)	22499	NM_001244008	KIF1A	NM_001244008			KIF1A			
10137	chr16	33509326	33509432	+	0	NA	Intergenic	Intergenic	-210677	NR_033866_1	LOC390705	NR_033866			LOC390705			
10071	chr16	31166146	31166314	+	0	NA	Intergenic	Intergenic	-4815	NM_173502	PRSS36	NM_173502			PRSS36			
16440	chr2	150177160	150177276	+	0	NA	Intergenic	Intergenic	-9281	NM_001195685	LYPD6	NM_001195685			LYPD6			
22528	chr4	178458474	178458544	+	0	NA	Intergenic	Intergenic	-94852	NM_000027	AGA	NR_033655			AGA			
13765	chr19	10207351	10207447	+	0	NA	intron (NM_031917, intron 1 of 5)	-intron (NM_031917, intron 1 of 5)	6026	NM_031917	ANGPTL6	NM_031917			ANGPTL6			
26945	chr7	132855525	132855591	+	0	NA	Intergenic	Intergenic	-82265	NM_021807	EXOC4	NM_021807			EXOC4			
26078	chr6	30449389	30449513	+	0	NA	Intergenic	Intergenic	-7732	NM_005516	HLA-E	NM_005516_6			HLA-E			
17659	chr2	6447611	6447740	+	0	NA	Intergenic	Intergenic	325565	NR_026833	LOC400940	NR_026833			LOC400940			
2947	chr10	131696538	131696579	+	0	NA	intron (NM_001005463, intron 6 of 15)	-intron (NM_001005463, intron 6 of 15)	-54920	NR_036179	MIR4297	NR_036179			MIR4297			
30355	chr9	133987637	133987770	+	0	NA	intron (NR_033701, intron 3 of 5)	-intron (NM_001185095, intron 4 of 6)	-13278	NM_005085	NUP214	NM_005085			NUP214			
3592	chr10	5551396	5551449	+	0	NA	Intergenic	Intergenic	-9889	NM_017422	CALML5	NM_017422			CALML5			
24044	chr5	1626118	1626245	+	0	NA	intron (NR_003713, intron 2 of 3)	-intron (NR_003713, intron 2 of 3)	7939	NR_003713	LOC728613	NR_003713			LOC728613			
27279	chr7	155602557	155602626	+	0	NA	intron (NM_000193, intron 1 of 2)	-intron (NM_000193, intron 1 of 2)	2376	NM_000193	SHH	NM_000193			SHH			
27946	chr7	51873553	51873634	+	0	NA	Intergenic	Intergenic	-489078	NM_015198	COBL	NM_015198			COBL			
28173	chr7	73457133	73457253	+	0	NA	intron (NM_001081755, intron 6 of 31)	-intron (NM_000501, intron 6 of 32)	14766	NM_001081752	ELN	NM_000501			ELN			
12175	chr17	58216490	58216612	+	0	NA	Intergenic	Intergenic	-10751	NM_000717	CA4	NM_000717			CA4			
20880	chr3	134445108	134445170	+	0	NA	Intergenic	Intergenic	-68960	NM_004441	EPHB1	NM_004441			EPHB1			
22685	chr4	190943995	190944063	+	0	NA	Intergenic	Intergenic	4383	NM_001005217	FRG2	NM_001005217_1			FRG2			
16138	chr2	119600955	119601046	+	0	NA	intron (NM_001426, intron 1 of 1)	-intron (NM_001426, intron 1 of 1)	4759	NM_001426	EN1	NM_001426			EN1			
30630	chr9	138466825	138466987	+	0	NA	exon (NR_034016, exon 1 of 6)	-exon (NR_034016, exon 1 of 6)	135	NR_034016	LOC100130954	NR_034016			LOC100130954			
12434	chr17	72027623	72027697	+	0	NA	Intergenic	Intergenic	-172135	NM_001035258	RPL38	NM_000999			RPL38			
17236	chr2	241901985	241902139	+	0	NA	intron (NR_033841, intron 3 of 8)	-intron (NR_033841, intron 3 of 8)	4806	NR_033841	LOC200772	NR_033841			LOC200772			
30189	chr9	129387094	129387164	+	0	NA	intron (NM_002316, intron 2 of 7)	-intron (NM_001174146, intron 2 of 7)	10407	NM_001174146	LMX1B	NM_001174147			LMX1B			
22622	chr4	18673933	18674065	+	0	NA	Intergenic	Intergenic	-650516	NM_153686	LCORL	NM_001166139			LCORL			
24999	chr5	785868	785973	+	0	NA	Intergenic	Intergenic	65181	NM_024786	ZDHHC11	NM_024786			ZDHHC11			
7927	chr14	104600568	104600632	+	0	NA	Intergenic	Intergenic	-4460	NM_015656	KIF26A	NM_015656			KIF26A			
12323	chr17	66596931	66597006	+	0	NA	exon (NM_001243746, exon 1 of 12)	-exon (NM_001243746, exon 1 of 12)	127	NM_001243746	FAM20A	NM_001243746			FAM20A			
25424	chr6	143947397	143947529	+	0	NA	intron (NM_014721, intron 1 of 12)	-intron (NM_001100166, intron 1 of 11)	18146	NM_014721	PHACTR2	NM_014721			PHACTR2			
18043	chr20	23186390	23186479	+	0	NA	Intergenic	Intergenic	-73161	NR_034149	LOC200261	NR_034149			LOC200261			
23575	chr5	1202174	1202263	+	0	NA	intron (NM_001003841, intron 1 of 11)	-intron (NM_001003841, intron 1 of 11)	508	NM_001003841	SLC6A19	NM_001003841			SLC6A19			
10964	chr16	87869807	87869907	+	0	NA	intron (NM_003486, intron 8 of 9)	-intron (NM_003486, intron 8 of 9)	33243	NM_003486	SLC7A5	NM_003486			SLC7A5			
4004	chr11	103197048	103197102	+	0	NA	intron (NM_001377, intron 82 of 88)	-intron (NM_001080463, intron 83 of 89)	216915	NM_001080463	DYNC2H1	NM_001377			DYNC2H1			
407	chr1	152082220	152082398	+	0	NA	exon (NM_007113, exon 2 of 2)	-exon (NM_007113, exon 2 of 2)	4247	NM_007113	TCHH	NM_007113			TCHH			
26928	chr7	131594206	131594253	+	0	NA	Intergenic	Intergenic	-352853	NM_005397	PODXL	NM_005397			PODXL			
19373	chr21	46400385	46400503	+	0	NA	Intergenic	Intergenic	13557	NR_033840	LINC00163	NR_033840			LINC00163			
17011	chr2	235148885	235148980	+	0	NA	Intergenic	Intergenic	189586	NM_006944	SPP2	NM_006944			SPP2			
