,PeakID,Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
12815,23321,chr6,44649766,44649864,+,0,,Intergenic,Intergenic,246437,NR_039785,MIR4642,NR_039785,,,MIR4642,,,
12816,3607,chr11,117534686,117534771,+,0,,"intron (NM_020693, intron 3 of 32)","-intron (NM_020693, intron 3 of 32)",133248,NM_020693,DSCAML1,NM_020693,,,DSCAML1,,,
12817,2129,chr10,103990733,103990841,+,0,,"exon (NM_005029, exon 4 of 4)","-exon (NM_005029, exon 4 of 4)",4644,NM_152310,ELOVL3,NM_152310,,,ELOVL3,,,
12818,8136,chr15,29412874,29413029,+,0,,"exon (NM_015307, exon 11 of 11)","-exon (NM_015307, exon 11 of 11)",149069,NM_138704,NDNL2,NM_138704,,,NDNL2,,,
12819,2479,chr10,132166566,132166675,+,0,,Intergenic,Intergenic,231981,NM_006541,GLRX3,NM_001199868,,,GLRX3,,,
12820,3486,chr11,104065591,104065640,+,0,,Intergenic,Intergenic,-30588,NM_025208,PDGFD,NM_033135,,,PDGFD,,,
12821,18076,chr3,116769499,116769537,+,0,,Intergenic,Intergenic,340883,NR_015391,LSAMP-AS3,NR_015391,,,LSAMP-AS3,,,
12822,18316,chr3,137591599,137591693,+,0,,Intergenic,Intergenic,108512,NM_004189,SOX14,NM_004189,,,SOX14,,,
12823,23491,chr6,79546595,79546689,+,0,,Intergenic,Intergenic,-30547,NM_001010844,IRAK1BP1,NM_001010844,,,IRAK1BP1,,,
12824,25607,chr8,143421249,143421353,+,0,,"intron (NM_145003, intron 4 of 13)","-intron (NM_145003, intron 4 of 13)",63242,NM_145003,TSNARE1,NM_145003,,,TSNARE1,,,
12825,7379,chr14,106135258,106135363,+,0,,TTS (NR_046211),-TTS (NR_046211),3834,NR_046211,ELK2AP,NR_046211,,,ELK2AP,,,
12826,20705,chr5,101156532,101156598,+,0,,Intergenic,Intergenic,475688,NM_180991,SLCO4C1,NM_180991,,,SLCO4C1,,,
12827,27652,chr9,76891129,76891168,+,0,,Intergenic,Intergenic,-221104,NM_006914,RORB,NM_006914,,,RORB,,,
12828,6879,chr13,61913439,61913481,+,0,,Intergenic,Intergenic,76195,NM_022843,PCDH20,NM_022843,,,PCDH20,,,
12829,16505,chr20,61942764,61942824,+,0,,"exon (NM_020882, exon 12 of 36)","-exon (NM_020882, exon 12 of 36)",18256,NM_020882,COL20A1,NM_020882,,,COL20A1,,,
12830,3965,chr11,1910503,1910627,+,0,,"intron (NM_002339, intron 10 of 10)","-intron (NM_001013253, intron 10 of 10)",18411,NM_001013255,LSP1,NM_001013255,,,LSP1,,,
12831,15219,chr2,242760060,242760113,+,0,,Intergenic,Intergenic,8056,NM_001167599,NEU4,NM_080741,,,NEU4,,,
12832,6994,chr13,85638587,85638720,+,0,,Intergenic,Intergenic,734830,NM_032229,SLITRK6,NM_032229,,,SLITRK6,,,
12833,21428,chr5,174871573,174871681,+,0,,promoter-TSS (NM_000794),-promoter-TSS (NM_000794),-464,NM_000794,DRD1,NM_000794,,,DRD1,,,
12834,462,chr1,16118802,16118930,+,0,,Intergenic,Intergenic,15328,NM_001089591,UQCRHL,NM_001089591,,,UQCRHL,,,
12835,18669,chr3,192127797,192127840,+,0,,promoter-TSS (NM_021032),-promoter-TSS (NM_021032),-980,NM_021032,FGF12,NM_004113,,,FGF12,,,
12836,11973,chr18,76463395,76463467,+,0,,Intergenic,Intergenic,-276844,NM_171999,SALL3,NM_171999,,,SALL3,,,
12837,10052,chr16,88963739,88963797,+,0,,"intron (NM_175931, intron 2 of 10)","-intron (NM_005187, intron 3 of 11)",-30700,NM_001080487,PABPN1L,NM_001080487,,,PABPN1L,,,
12838,4158,chr11,2859583,2859661,+,0,,"intron (NR_040711, intron 15 of 15)","-intron (NM_000218, intron 15 of 15)",-31641,NR_024627,KCNQ1DN,NR_024627,,,KCNQ1DN,,,
12839,18490,chr3,162420782,162420877,+,0,,Intergenic,Intergenic,600260,NR_033945,LOC647107,NR_033945,,,LOC647107,,,
12840,8726,chr16,10133461,10133506,+,0,,"intron (NM_001134408, intron 2 of 13)","-intron (NM_000833, intron 3 of 13)",142441,NM_001134408,GRIN2A,NM_000833,,,GRIN2A,,,
12841,17117,chr22,17679695,17679734,+,0,,"intron (NM_017424, intron 3 of 8)","-intron (NM_017424, intron 3 of 8)",831,NM_177405,CECR1,NM_017424,,,CECR1,,,
12842,3440,chr10,98192648,98192712,+,0,,"exon (NM_012465, exon 4 of 21)","-exon (NM_012465, exon 4 of 21)",-73588,NM_001040103,OPALIN,NM_033207,,,OPALIN,,,
12843,23266,chr6,41339548,41339621,+,0,,Intergenic,Intergenic,36056,NM_001199510,NCR2,NM_004828,,,NCR2,,,
12844,8565,chr15,86682618,86682734,+,0,,Intergenic,Intergenic,-2566,NM_152336,AGBL1,NM_152336,,,AGBL1,,,
12845,20673,chr4,95090858,95090954,+,0,,Intergenic,Intergenic,-37853,NM_001128430,SMARCAD1,NM_001128429,,,SMARCAD1,,,
12846,22746,chr6,167250767,167250878,+,0,,"intron (NM_001006932, intron 2 of 21)","-intron (NM_001006932, intron 2 of 21)",24949,NM_001006932,RPS6KA2,NM_021135,,,RPS6KA2,,,
12847,2791,chr10,1815471,1815607,+,0,,Intergenic,Intergenic,-35869,NM_018702,ADARB2,NM_018702,,,ADARB2,,,
12848,20867,chr5,1220667,1220778,+,0,,"intron (NM_001003841, intron 10 of 11)","-intron (NM_001003841, intron 10 of 11)",-4748,NM_182632,SLC6A18,NM_182632,,,SLC6A18,,,
12849,18563,chr3,175733946,175734010,+,0,,Intergenic,Intergenic,646649,NR_039952,MIR4789,NR_039952,,,MIR4789,,,
12850,22192,chr5,63986597,63986680,+,0,,"exon (NM_001164442, exon 1 of 3)","-exon (NM_001164442, exon 1 of 3)",503,NM_001164442,FAM159B,NM_001164442,,,FAM159B,,,
12851,14452,chr2,132672014,132672055,+,0,,Intergenic,Intergenic,-112800,NM_214461,C2orf27B,NM_214461,,,C2orf27B,,,
12852,24559,chr7,30954813,30954870,+,0,,"intron (NM_198098, intron 1 of 3)","-intron (NM_198098, intron 1 of 3)",3426,NM_198098,AQP1,NM_001185060,,,AQP1,,,
12853,6008,chr12,48770757,48770823,+,0,,Intergenic,Intergenic,-25761,NM_001172682,ZNF641,NM_001172682,,,ZNF641,,,
12854,17251,chr22,23779139,23779241,+,0,,Intergenic,Intergenic,-34391,NR_003950,ZDHHC8P1,NR_003950,,,ZDHHC8P1,,,
12855,9543,chr16,58499075,58499219,+,0,,"intron (NM_022910, intron 1 of 15)","-intron (NM_001130487, intron 1 of 15)",421,NM_022910,NDRG4,NM_001242833,,,NDRG4,,,
12856,25120,chr8,101726882,101726930,+,0,,"intron (NM_002568, intron 4 of 14)","-intron (NM_002568, intron 4 of 14)",7409,NM_002568,PABPC1,NM_002568,,,PABPC1,,,
12857,28166,chrX,150343262,150343335,+,0,,Intergenic,Intergenic,-1758,NM_004224,GPR50,NM_004224,,,GPR50,,,
12858,15916,chr20,30193830,30193915,+,0,,"exon (NM_002165, exon 2 of 2)","-exon (NM_002165, exon 2 of 2)",786,NM_181353,ID1,NM_002165,,,ID1,,,
12859,16299,chr20,59827252,59827339,+,0,,promoter-TSS (NM_001794),-promoter-TSS (NM_001794),-187,NM_001794,CDH4,NM_001794,,,CDH4,,,
12860,1273,chr1,26963658,26963774,+,0,,Intergenic,Intergenic,-58806,NM_006015,ARID1A,NM_006015,,,ARID1A,,,
12861,4802,chr11,72985838,72985957,+,0,,"intron (NM_004154, intron 1 of 1)","-intron (NM_004154, intron 1 of 1)",2650,NM_004154,P2RY6,NM_176797,,,P2RY6,,,
12862,5595,chr12,132666468,132666526,+,0,,Intergenic,Intergenic,24076,NM_021808,GALNT9,NM_021808,,,GALNT9,,,
12863,21309,chr5,169361285,169361350,+,0,,"intron (NM_001129891, intron 1 of 3)","-intron (NM_001129891, intron 1 of 3)",46427,NM_001129891,FAM196B,NM_001129891,,,FAM196B,,,
12864,2279,chr10,122131602,122131697,+,0,,Intergenic,Intergenic,-84817,NM_001030059,PPAPDC1A,NM_001030059,,,PPAPDC1A,,,
12865,5884,chr12,34554001,34554133,+,0,,Intergenic,Intergenic,378851,NM_032834,ALG10,NM_032834,,,ALG10,,,
12866,17758,chr22,48928566,48928613,+,0,,"intron (NM_001082967, intron 1 of 3)","-intron (NM_001082967, intron 1 of 3)",14610,NR_038917,LOC284933,NR_038917,,,LOC284933,,,
12867,14042,chr19,852820,852861,+,0,,"intron (NM_001972, intron 1 of 4)","-intron (NM_001972, intron 1 of 4)",549,NM_001972,ELANE,NM_001972,,,ELANE,,,
12868,414,chr1,156829250,156829291,+,0,,promoter-TSS (NM_014215),-promoter-TSS (NM_014215),-558,NM_014215,INSRR,NM_014215,,,INSRR,,,
12869,817,chr1,201583503,201583584,+,0,,Intergenic,Intergenic,-33907,NM_020443,NAV1,NM_001167738,,,NAV1,,,
12870,23806,chr7,1304279,1304378,+,0,,Intergenic,Intergenic,31674,NM_001080461,UNCX,NM_001080461,,,UNCX,,,
12871,15184,chr2,241727399,241727526,+,0,,"intron (NM_004321, intron 4 of 46)","-intron (NM_001244008, intron 4 of 48)",32263,NM_004321,KIF1A,NM_004321,,,KIF1A,,,
12872,21649,chr5,178694306,178694436,+,0,,"intron (NM_021599, intron 3 of 10)","-intron (NM_014244, intron 3 of 21)",78060,NM_014244,ADAMTS2,NM_014244,,,ADAMTS2,,,
12873,19669,chr4,166625442,166625516,+,0,,Intergenic,Intergenic,-168931,NM_001204760,TLL1,NM_001204760,,,TLL1,,,
12874,9148,chr16,28078415,28078465,+,0,,Intergenic,Intergenic,-3610,NM_001109763,GSG1L,NM_001109763,,,GSG1L,,,
12875,18868,chr3,39426386,39426452,+,0,,"intron (NM_017875, intron 1 of 6)","-intron (NM_017875, intron 1 of 6)",1604,NM_017875,SLC25A38,NM_017875,,,SLC25A38,,,
12876,2862,chr10,26503632,26503716,+,0,,Intergenic,Intergenic,-1562,NM_001134366,GAD2,NM_000818,,,GAD2,,,
12877,22941,chr6,21631053,21631119,+,0,,Intergenic,Intergenic,-35589,NR_015410,LINC00340,NR_015410,,,LINC00340,,,
12878,13141,chr19,41106128,41106237,+,0,,"intron (NM_003573, intron 4 of 32)","-intron (NM_001042544, intron 4 of 32)",-1095,NM_001042545,LTBP4,NM_003573,,,LTBP4,,,
12879,220,chr1,1316620,1316687,+,0,,Intergenic,Intergenic,-5835,NM_017900,AURKAIP1,NM_001127230,,,AURKAIP1,,,
12880,20993,chr5,13466422,13466470,+,0,,Intergenic,Intergenic,478143,NM_001369,DNAH5,NM_001369,,,DNAH5,,,
12881,23727,chr7,124645895,124645977,+,0,,Intergenic,Intergenic,-75899,NM_015450,POT1,NM_015450,,,POT1,,,
12882,16918,chr21,44803118,44803166,+,0,,Intergenic,Intergenic,43860,NM_173354,SIK1,NM_173354,,,SIK1,,,
12883,13886,chr19,588647,588717,+,0,,Intergenic,Intergenic,-1211,NM_001194,HCN2,NM_001194,,,HCN2,,,
12884,11451,chr17,78827638,78827704,+,0,,"intron (NM_020761, intron 11 of 33)","-intron (NM_001163034, intron 11 of 29)",-137970,NM_024591,CHMP6,NM_024591,,,CHMP6,,,
12885,14448,chr2,132285982,132286104,+,0,,"intron (NM_138770, intron 1 of 7)","-intron (NM_138770, intron 1 of 7)",551,NM_138770,CCDC74A,NM_138770,,,CCDC74A,,,
12886,1606,chr1,37563111,37563173,+,0,,Intergenic,Intergenic,-63298,NM_000831,GRIK3,NM_000831,,,GRIK3,,,
12887,9910,chr16,85982930,85983061,+,0,,Intergenic,Intergenic,50221,NM_002163,IRF8,NM_002163,,,IRF8,,,
12888,18969,chr3,50230238,50230284,+,0,,"intron (NM_144499, intron 1 of 8)","-intron (NM_000172, intron 1 of 8)",1218,NM_000172,GNAT1,NM_000172,,,GNAT1,,,
12889,2160,chr10,106485611,106485681,+,0,,"intron (NM_014978, intron 1 of 26)","-intron (NM_014978, intron 1 of 26)",84787,NM_014978,SORCS3,NM_014978,,,SORCS3,,,
12890,28451,chrX,458187,458273,+,0,,Intergenic,Intergenic,-110540,NM_013239,PPP2R3B,NM_013239_1,,,PPP2R3B,,,
12891,9321,chr16,34455906,34455957,+,0,,Intergenic,Intergenic,-51169,NR_002837,UBE2MP1,NR_002837,,,UBE2MP1,,,
12892,16676,chr21,15308496,15308608,+,0,,Intergenic,Intergenic,44213,NR_027270,ANKRD20A11P,NR_027270,,,ANKRD20A11P,,,
12893,3763,chr11,129245673,129245827,+,0,,promoter-TSS (NM_003658),-promoter-TSS (NM_003658),-131,NM_003658,BARX2,NM_003658,,,BARX2,,,
12894,7157,chr14,102529967,102530029,+,0,,Intergenic,Intergenic,23514,NM_005348,HSP90AA1,NM_005348,,,HSP90AA1,,,
12895,10323,chr17,17495879,17495961,+,0,,promoter-TSS (NM_148172),-promoter-TSS (NM_148172),-926,NM_148172,PEMT,NM_148172,,,PEMT,,,
12896,27812,chr9,93473373,93473441,+,0,,Intergenic,Intergenic,-68299,NM_017594,DIRAS2,NM_017594,,,DIRAS2,,,
12897,7703,chr14,69095264,69095334,+,0,,Intergenic,Intergenic,165332,NM_004926,ZFP36L1,NM_001244698,,,ZFP36L1,,,
12898,7122,chr14,101189589,101189627,+,0,,Intergenic,Intergenic,-3594,NM_003836,DLK1,NM_003836,,,DLK1,,,
12899,12006,chr18,77312706,77312793,+,0,,Intergenic,Intergenic,-127052,NM_004715,CTDP1,NM_048368,,,CTDP1,,,
12900,24519,chr7,2564967,2565009,+,0,,"intron (NM_002304, intron 4 of 8)","-intron (NM_001040167, intron 3 of 7)",-1720,NR_039791,MIR4648,NR_039791,,,MIR4648,,,
12901,22,chr1,104615628,104615791,+,0,,promoter-TSS (NR_033990),-promoter-TSS (NR_033990),64,NR_033990,LOC100129138,NR_033990,,,LOC100129138,,,
12902,23888,chr7,1388245,1388287,+,0,,Intergenic,Intergenic,110843,NM_182924,MICALL2,NM_182924,,,MICALL2,,,
12903,20537,chr4,8276935,8277051,+,0,,"intron (NM_053044, intron 1 of 8)","-intron (NM_053044, intron 1 of 8)",5504,NM_053044,HTRA3,NM_053044,,,HTRA3,,,
12904,7447,chr14,21270134,21270201,+,0,,"exon (NM_002933, exon 2 of 2)","-exon (NM_002933, exon 2 of 2)",391,NM_198232,RNASE1,NM_198234,,,RNASE1,,,
12905,26679,chr9,120634460,120634508,+,0,,Intergenic,Intergenic,168024,NR_024169,TLR4,NR_024169,,,TLR4,,,
12906,26597,chr9,103791715,103791797,+,0,,"intron (NM_207299, intron 1 of 7)","-intron (NM_207299, intron 1 of 7)",725,NM_207299,LPPR1,NM_207299,,,LPPR1,,,
12907,4616,chr11,67290201,67290286,+,0,,"intron (NM_016366, intron 1 of 6)","-intron (NM_016366, intron 1 of 6)",656,NM_016366,CABP2,NM_016366,,,CABP2,,,
12908,11898,chr18,71678759,71678844,+,0,,Intergenic,Intergenic,136198,NM_152676,FBXO15,NM_001142958,,,FBXO15,,,
12909,1175,chr1,242687135,242687211,+,0,,"intron (NM_152666, intron 2 of 10)","-intron (NM_152666, intron 2 of 10)",825,NM_152666,PLD5,NM_001195812,,,PLD5,,,
12910,27708,chr9,82974879,82975041,+,0,,Intergenic,Intergenic,788082,NM_007005,TLE4,NM_007005,,,TLE4,,,
12911,3840,chr11,134571565,134571616,+,0,,Intergenic,Intergenic,265214,NR_033852,LOC283177,NR_033852,,,LOC283177,,,
12912,18766,chr3,2394048,2394133,+,0,,"intron (NM_175607, intron 3 of 24)","-intron (NM_001206955, intron 2 of 23)",113577,NM_001206955,CNTN4,NM_001206956,,,CNTN4,,,
12913,22186,chr5,63802408,63802490,+,0,,promoter-TSS (NM_001029875),-promoter-TSS (NM_001029875),-3,NM_001029875,RGS7BP,NM_001029875,,,RGS7BP,,,
12914,520,chr1,16863161,16863200,+,0,,Intergenic,Intergenic,-12229,NR_037446,MIR3675,NR_037446_1,,,MIR3675,,,
12915,17742,chr22,48885358,48885424,+,0,,"exon (NM_001082967, exon 1 of 4)","-exon (NM_001082967, exon 1 of 4)",103,NM_001082967,FAM19A5,NM_001082967,,,FAM19A5,,,
12916,28724,chrX,9966595,9966680,+,0,,Intergenic,Intergenic,-17158,NM_015691,WWC3,NM_015691,,,WWC3,,,
12917,8725,chr16,1010072,1010186,+,0,,"intron (NR_033645, intron 1 of 11)","-intron (NM_022773, intron 1 of 10)",10855,NR_033646,LMF1,NM_022773,,,LMF1,,,
12918,14893,chr2,219826478,219826531,+,0,,"exon (NM_003936, exon 1 of 1)","-exon (NM_003936, exon 1 of 1)",2106,NM_003936,CDK5R2,NM_003936,,,CDK5R2,,,
12919,12633,chr19,2307804,2307930,+,0,,"intron (NM_001101391, intron 1 of 1)","-intron (NM_001101391, intron 1 of 1)",289,NM_001101391,LINGO3,NM_001101391,,,LINGO3,,,
12920,16034,chr20,39103642,39103776,+,0,,Intergenic,Intergenic,214167,NM_005461,MAFB,NM_005461,,,MAFB,,,
12921,1903,chr1,69081438,69081575,+,0,,Intergenic,Intergenic,-118707,NM_017779,DEPDC1,NM_017779,,,DEPDC1,,,
12922,9165,chr16,28953384,28953450,+,0,,Intergenic,Intergenic,-8901,NM_032815,NFATC2IP,NM_032815,,,NFATC2IP,,,
12923,21688,chr5,179333913,179333957,+,0,,"intron (NM_198868, intron 1 of 21)","-intron (NM_015043, intron 1 of 20)",921,NM_015043,TBC1D9B,NM_015043,,,TBC1D9B,,,
12924,13216,chr19,436742,436829,+,0,,"intron (NM_012435, intron 4 of 12)","-intron (NM_012435, intron 4 of 12)",24211,NM_012435,SHC2,NM_012435,,,SHC2,,,
12925,18818,chr3,32859446,32859557,+,0,,promoter-TSS (NM_001039111),-promoter-TSS (NM_001039111),-9,NM_001039111,TRIM71,NM_001039111,,,TRIM71,,,
12926,10028,chr16,88751621,88751733,+,0,,"intron (NM_178310, intron 1 of 2)","-intron (NM_178310, intron 1 of 2)",1205,NM_178310,SNAI3,NM_178310,,,SNAI3,,,
12927,13111,chr19,40421492,40421535,+,0,,"exon (NM_003890, exon 5 of 36)","-exon (NM_003890, exon 5 of 36)",19020,NM_003890,FCGBP,NM_003890,,,FCGBP,,,
12928,2858,chr10,2616446,2616511,+,0,,Intergenic,Intergenic,-259210,NR_038884,LOC399708,NR_038884,,,LOC399708,,,
12929,17470,chr22,38863606,38863649,+,0,,promoter-TSS (NM_006855),-promoter-TSS (NM_006855),-456,NM_006855,KDELR3,NM_006855,,,KDELR3,,,
12930,26963,chr9,136451014,136451115,+,0,,Intergenic,Intergenic,-5696,NM_001080515,FAM163B,NM_001080515,,,FAM163B,,,
12931,27125,chr9,138262485,138262589,+,0,,Intergenic,Intergenic,101558,NR_038969,LOC100506599,NR_038969,,,LOC100506599,,,
12932,21661,chr5,178832600,178832724,+,0,,Intergenic,Intergenic,-60231,NM_021599,ADAMTS2,NM_014244,,,ADAMTS2,,,
12933,7214,chr14,104638316,104638512,+,0,,"intron (NM_015656, intron 6 of 14)","-intron (NM_015656, intron 6 of 14)",33354,NM_015656,KIF26A,NM_015656,,,KIF26A,,,
12934,2346,chr10,125851545,125851627,+,0,,"intron (NM_015892, intron 1 of 7)","-intron (NM_014863, intron 1 of 5)",344,NM_015892,CHST15,NM_014863,,,CHST15,,,
12935,20580,chr4,8786331,8786381,+,0,,Intergenic,Intergenic,87187,NM_018942,HMX1,NM_018942,,,HMX1,,,
12936,11733,chr18,31020671,31020765,+,0,,promoter-TSS (NM_001105528),-promoter-TSS (NM_001105528),-33,NM_198995,C18orf34,NM_198995,,,C18orf34,,,
12937,12360,chr19,17419873,17420038,+,0,,promoter-TSS (NM_024050),-promoter-TSS (NM_024050),-382,NM_024050,DDA1,NM_024050,,,DDA1,,,
12938,5794,chr12,28123082,28123133,+,0,,promoter-TSS (NM_198964),-promoter-TSS (NM_198964),-213,NM_198964,PTHLH,NM_198964,,,PTHLH,,,
12939,11351,chr17,77242573,77242697,+,0,,"intron (NM_001082575, intron 2 of 13)","-intron (NM_001082575, intron 2 of 13)",171616,NM_001042573,ENGASE,NM_001042573,,,ENGASE,,,
12940,20642,chr4,8912036,8912178,+,0,,Intergenic,Intergenic,-38564,NM_018942,HMX1,NM_018942,,,HMX1,,,
12941,19351,chr4,123448427,123448561,+,0,,Intergenic,Intergenic,-70844,NM_000586,IL2,NM_000586,,,IL2,,,
12942,1377,chr1,30705120,30705224,+,0,,Intergenic,Intergenic,-486447,NR_034182,LOC100129196,NR_034182,,,LOC100129196,,,
12943,11659,chr18,11645974,11646109,+,0,,Intergenic,Intergenic,-43095,NM_182978,GNAL,NM_001142339,,,GNAL,,,
12944,14366,chr2,129163221,129163267,+,0,,Intergenic,Intergenic,-87073,NM_004807,HS6ST1,NM_004807,,,HS6ST1,,,
12945,14805,chr2,203499347,203499402,+,0,,promoter-TSS (NM_173511),-promoter-TSS (NM_173511),-527,NM_173511,FAM117B,NM_173511,,,FAM117B,,,
12946,27128,chr9,138267084,138267129,+,0,,Intergenic,Intergenic,96989,NR_038969,LOC100506599,NR_038969,,,LOC100506599,,,
12947,12801,chr19,32721683,32721759,+,0,,Intergenic,Intergenic,-114793,NM_014910,ZNF507,NM_014910,,,ZNF507,,,
12948,18341,chr3,140167396,140167506,+,0,,"exon (NM_022131, exon 6 of 17)","-exon (NM_022131, exon 6 of 17)",-229415,NM_152616,TRIM42,NM_152616,,,TRIM42,,,
12949,27290,chr9,139553597,139553731,+,0,,"exon (NR_046367, exon 1 of 10)","-exon (NR_046367, exon 1 of 10)",356,NR_046367,EGFL7,NR_046367,,,EGFL7,,,
12950,23820,chr7,131440836,131440874,+,0,,Intergenic,Intergenic,-199479,NM_001018111,PODXL,NM_005397,,,PODXL,,,
12951,8628,chr15,91499748,91499916,+,0,,"intron (NM_033544, intron 2 of 8)","-intron (NM_001017919, intron 1 of 7)",1726,NM_001017919,RCCD1,NM_033544,,,RCCD1,,,
12952,13810,chr19,56589233,56589299,+,0,,Intergenic,Intergenic,43383,NM_001002836,ZNF787,NM_001002836,,,ZNF787,,,
12953,28593,chrX,69665324,69665390,+,0,,"exon (NM_021120, exon 1 of 19)","-exon (NM_021120, exon 1 of 19)",652,NM_021120,DLG3,NM_001166278,,,DLG3,,,
12954,7184,chr14,104394945,104394989,+,0,,"exon (NM_153046, exon 1 of 36)","-exon (NM_153046, exon 1 of 36)",150,NM_153046,TDRD9,NM_153046,,,TDRD9,,,
12955,22932,chr6,20531141,20531272,+,0,,Intergenic,Intergenic,-3482,NM_017774,CDKAL1,NM_017774,,,CDKAL1,,,
12956,6427,chr13,104998756,104998857,+,0,,Intergenic,Intergenic,-1119410,NM_001161814,DAOA,NM_001161814,,,DAOA,,,
12957,15637,chr2,83472311,83472351,+,0,,Intergenic,Intergenic,388404,NR_033423,LOC1720,NR_033423,,,LOC1720,,,
12958,18783,chr3,26476944,26477044,+,0,,Intergenic,Intergenic,-187306,NM_052953,LRRC3B,NM_052953,,,LRRC3B,,,
12959,12858,chr19,34218758,34218851,+,0,,"intron (NM_022467, intron 2 of 3)","-intron (NM_001127895, intron 3 of 4)",43370,NM_022467,CHST8,NM_001127895,,,CHST8,,,
12960,26704,chr9,124487300,124487398,+,0,,"intron (NM_032552, intron 3 of 16)","-intron (NM_032552, intron 3 of 16)",-17715,NM_138709,DAB2IP,NM_032552,,,DAB2IP,,,
12961,25511,chr8,142377313,142377360,+,0,,promoter-TSS (NM_005293),-promoter-TSS (NM_005293),29,NM_005293,GPR20,NM_005293,,,GPR20,,,
12962,22990,chr6,27191969,27192036,+,0,,Intergenic,Intergenic,-23500,NM_005865,PRSS16,NM_005865,,,PRSS16,,,
12963,24254,chr7,157439270,157439343,+,0,,"intron (NM_130843, intron 13 of 21)","-intron (NM_002847, intron 14 of 22)",-72192,NR_029689,MIR153-2,NR_029689,,,MIR153-2,,,
12964,7000,chr13,86443235,86443373,+,0,,Intergenic,Intergenic,-69821,NM_032229,SLITRK6,NM_032229,,,SLITRK6,,,
12965,25885,chr8,20925083,20925131,+,0,,Intergenic,Intergenic,93610,NR_033894,LOC286114,NR_033894,,,LOC286114,,,
12966,10587,chr17,3564039,3564093,+,0,,"exon (NM_001031681, exon 13 of 13)","-exon (NM_001031681, exon 13 of 13)",7907,NM_001204698,TAX1BP3,NM_001204698,,,TAX1BP3,,,
12967,12782,chr19,31839735,31839780,+,0,,"intron (NM_020856, intron 1 of 1)","-intron (NM_020856, intron 1 of 1)",433,NM_020856,TSHZ3,NM_020856,,,TSHZ3,,,
12968,3704,chr11,123809476,123809627,+,0,,promoter-TSS (NM_001001965),-promoter-TSS (NM_001001965),-773,NM_001001965,OR4D5,NM_001001965,,,OR4D5,,,
12969,24142,chr7,155197637,155197776,+,0,,Intergenic,Intergenic,-53118,NM_001427,EN2,NM_001427,,,EN2,,,
12970,28642,chrX,810543,810662,+,0,,Intergenic,Intergenic,225523,NM_006883,SHOX,NM_006883_1,,,SHOX,,,
12971,16269,chr20,58030251,58030359,+,0,,Intergenic,Intergenic,-122259,NM_001199505,PHACTR3,NM_183244,,,PHACTR3,,,
12972,5769,chr12,2377917,2377962,+,0,,"intron (NM_199460, intron 3 of 49)","-intron (NM_000719, intron 3 of 46)",215523,NM_001129843,CACNA1C,NM_001167623,,,CACNA1C,,,
12973,15606,chr2,76537885,76537951,+,0,,Intergenic,Intergenic,-599807,NM_003203,GCFC2,NM_001201334,,,GCFC2,,,
12974,9742,chr16,773999,774071,+,0,,"intron (NM_001031737, intron 10 of 13)","-intron (NM_001031737, intron 10 of 13)",2438,NM_001031737,CCDC78,NM_001031737,,,CCDC78,,,
12975,22769,chr6,168067138,168067265,+,0,,Intergenic,Intergenic,130338,NR_026773,C6orf123,NR_026773,,,C6orf123,,,
12976,6203,chr12,6721893,6721938,+,0,,Intergenic,Intergenic,-5364,NM_001273,CHD4,NM_001273,,,CHD4,,,
12977,18427,chr3,151178589,151178683,+,0,,Intergenic,Intergenic,-2139,NM_178822,IGSF10,NM_001178145,,,IGSF10,,,
12978,12619,chr19,2291491,2291562,+,0,,"exon (NM_001101391, exon 2 of 2)","-exon (NM_001101391, exon 2 of 2)",-9345,NM_198532,C19orf35,NM_198532,,,C19orf35,,,
12979,19076,chr3,64875807,64875869,+,0,,"intron (NR_038264, intron 4 of 5)","-intron (NR_030317, intron 3 of 3)",170155,NR_030317,MIR548A2,NR_030317,,,MIR548A2,,,
12980,12743,chr19,30594283,30594388,+,0,,Intergenic,Intergenic,161189,NR_045557,URI1,NM_003796,,,URI1,,,
12981,18405,chr3,14814155,14814229,+,0,,"intron (NM_032137, intron 16 of 16)","-intron (NM_001184957, intron 16 of 16)",-46277,NM_152536,FGD5,NM_152536,,,FGD5,,,
12982,11849,chr18,60192280,60192325,+,0,,"intron (NM_017742, intron 1 of 13)","-intron (NM_017742, intron 1 of 13)",1644,NM_017742,ZCCHC2,NM_017742,,,ZCCHC2,,,
12983,8064,chr15,25257758,25257890,+,0,,Intergenic,Intergenic,25752,NR_001292,SNORD108,NR_001292,,,SNORD108,,,
12984,10438,chr17,26193925,26194020,+,0,,Intergenic,Intergenic,26437,NM_001076680,C17orf108,NM_001076680,,,C17orf108,,,
12985,7634,chr14,57271049,57271187,+,0,,"intron (NM_021728, intron 3 of 4)","-intron (NM_021728, intron 3 of 4)",1227,NM_172337,OTX2,NM_021728,,,OTX2,,,
12986,16134,chr20,47003615,47003702,+,0,,Intergenic,Intergenic,15004,NR_026958,LINC00494,NR_026958,,,LINC00494,,,
